student_id,name,past_classes,requested_classes,grad_year,major_status
S0000,Sean Boyer,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS132],2025,Non-major
S0001,Randall Jones,[CS140,CS51,CS62,CS105,CS54],[],2027,Non-major
S0970,Matthew Johnson,[CS62,CS54,CS51,CS140],[CS140,CS101],2026,Non-major
S0971,Mr. Jeffery Costa,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS132],2026,Non-major
S0972,Kurt Mayo,[CS51,CS62,CS105,CS101,CS54],[CS132],2027,Non-major
S0973,James Barnett,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2027,Non-major
S0974,Jon Russell,[],[],2025,CS major
S0975,Melissa Harper,[],[CS133],2028,Non-major
S0976,Carla Farley,[CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S0977,Carmen Rodriguez,[CS140,CS51,CS62,CS101,CS54],[CS181AA],2027,Non-major
S0978,Mr. Stephen Hampton,[CS51,CS62,CS105,CS101,CS54],[CS132,CS140],2026,CS major
S0979,Bradley Scott,[CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S0980,Scott Warren,[CS101,CS54,CS51,CS62],[CS122],2025,CS minor
S0981,Bryan Quinn MD,[CS51,CS62],[CS138],2028,Non-major
S0982,Brittany Carter,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2028,Non-major
S0983,Alexis Aguirre,[CS54,CS51],[CS138,CS153],2025,CS major
S0984,James Goodman,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101,CS181DV],2025,CS major
S0985,Roy Baker,[CS51,CS62,CS105,CS101,CS54],[CS133],2027,Non-major
S0986,Michael Evans,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S0987,Tanya Murray,[CS140,CS51,CS62,CS105,CS54],[CS153,CS138],2025,Non-major
S0988,Curtis Davis,[CS101,CS54,CS51,CS62],[CS181AA,CS122],2027,Non-major
S0989,Jessica Jones,[CS140,CS51,CS62,CS105,CS54],[CS153],2026,CS minor
S0990,Allen Bond,[CS140,CS51,CS62,CS105,CS54],[CS153],2025,CS minor
S0991,Amber Morales,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2027,CS minor
S0992,Nicole Anderson,[],[CS153,CS105],2028,CS minor
S0993,Heather Erickson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S0994,Jennifer Gonzales,[CS140,CS51,CS62,CS101,CS54],[CS122,CS181AA],2026,Non-major
S0995,Tyler Jones,[CS51,CS62],[CS132],2025,Non-major
S0996,Stephen Schwartz,[CS54,CS51,CS62,CS105],[CS181AA,CS158],2026,CS minor
S0997,Michelle Long,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS158],2027,CS minor
S0998,Bruce Pope,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S0999,Ashley Ruiz,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S1000,Katie Stuart,[CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S1001,Christopher Fernandez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS181AA],2026,CS minor
S1002,Matthew Leon,[CS51],[CS122,CS181AA],2027,CS minor
S1003,Kerry Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA,CS105],2025,CS minor
S1004,Taylor Wang MD,[CS140,CS51,CS62,CS101,CS54],[CS101],2026,Non-major
S1005,Garrett Gardner,[CS101,CS54,CS51,CS62],[CS133],2028,CS minor
S1006,Justin Camacho,[],[],2028,CS major
S1007,Crystal Brown,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132],2027,CS major
S1008,Gary Arnold,[CS140,CS51,CS62,CS101,CS54],[CS122,CS132],2026,CS major
S1009,Mario Rogers,[],[],2026,Non-major
S1010,Alejandra Keller,[CS62,CS54,CS51,CS140],[CS138],2028,CS major
S1011,Sharon Boyd,[CS140,CS51,CS62,CS105,CS54],[CS133],2028,CS major
S1012,Aaron Goodman,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101,CS181AA],2027,CS major
S1013,Jose Stein,[CS101,CS54,CS51,CS62],[CS101],2028,CS major
S1014,Joseph Cruz,[CS101,CS54,CS51,CS62],[],2026,CS minor
S1015,Tina Torres,[],[],2028,CS major
S1016,Jeremy Smith,[],[],2025,CS minor
S1017,Mary Russell,[CS54,CS51,CS62,CS105],[CS153],2028,CS major
S1018,Paula Trevino,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS major
S1019,Morgan Walker,[CS51,CS62,CS105,CS101,CS54],[CS132,CS140],2028,Non-major
S1020,Timothy Dennis,[CS101,CS54,CS51,CS62],[CS140,CS181AA],2026,CS minor
S1021,Regina Williams,[CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S1022,Andrew Boyd,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S1023,Maurice Mitchell,[CS54,CS51],[CS105,CS122],2026,CS minor
S1024,Christian Baird,[],[CS181AA,CS133],2028,CS minor
S1025,Tammy Howard DDS,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S1026,Chelsea Lamb,[CS140,CS51,CS62,CS105,CS54],[CS132],2025,Non-major
S1027,Melissa Garcia,[CS54,CS51,CS62,CS105],[],2027,Non-major
S1028,Amy Wheeler,[CS51,CS62,CS105,CS101,CS54],[CS105,CS132],2028,Non-major
S1029,Frank Wood,[CS54,CS51],[CS158,CS138],2026,CS major
S1030,Eddie Smith,[CS54,CS140,CS51,CS62],[CS153,CS133],2025,CS major
S1031,Derek Chang,[],[CS153,CS138],2026,CS minor
S1032,Morgan Andrews,[CS101,CS54,CS51,CS62],[CS138,CS140],2028,Non-major
S1033,Erika Ford,[CS140,CS51,CS62,CS101,CS54],[CS140,CS101],2027,CS minor
S1034,Donna Thompson,[CS101,CS54,CS51,CS62],[CS181DV],2026,CS major
S1035,Ian Smith,[CS54,CS51],[CS138],2028,Non-major
S1036,Kelly Garrett,[CS54,CS51,CS62,CS105],[],2025,Non-major
S1037,Robert Jordan,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2027,CS major
S1038,Walter Ellis,[CS101,CS54,CS51,CS62],[CS153],2028,CS minor
S1039,Kyle White,[CS54,CS51,CS62,CS105],[CS132,CS133],2026,Non-major
S1040,Breanna Mercado,[],[CS101],2025,CS minor
S1041,Timothy Jackson,[CS140,CS51,CS62,CS101,CS54],[CS181DV],2028,Non-major
S1042,Anna Jones,[CS140,CS51,CS62,CS101,CS54],[CS181AA,CS101],2026,CS major
S1043,Scott Mendez,[CS140,CS51,CS62,CS105,CS54],[CS181DV],2025,CS major
S1044,Donald Huff,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS122],2028,Non-major
S1045,Charles Hardin,[],[CS140],2025,CS major
S1046,Andre Stephens,[CS54,CS51],[CS122,CS153],2026,CS minor
S1047,Robert Davis,[CS101,CS54,CS51,CS62],[CS133,CS181AA],2026,CS minor
S1048,Allen Fisher,[],[CS101],2025,CS major
S1049,Kyle Garcia,[CS140,CS51,CS62,CS105,CS54],[CS153,CS181AA],2025,CS minor
S1050,Tanya Morris,[CS54,CS51,CS62],[CS138,CS158],2026,CS minor
S1051,Alexis Vasquez,[],[],2025,CS major
S1052,James Hunt,[CS51,CS62],[CS105,CS153],2025,CS major
S1053,Erica Massey,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2026,Non-major
S1054,Nancy Mendez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140,CS132],2027,Non-major
S1055,Pedro Jenkins,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS122],2026,CS major
S1056,Heather Weeks,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2027,CS major
S1057,Christopher Garrett,[CS101,CS54,CS51,CS62],[],2028,CS major
S1058,Julia Bennett,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S1059,Leslie Anderson,[CS54,CS51,CS62,CS140],[CS133],2025,CS minor
S1060,Joshua Kelley,[CS101,CS54,CS51,CS62],[CS153,CS138],2027,CS minor
S1061,Christina Smith,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS133],2026,Non-major
S1062,Andrea Perez,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA],2028,Non-major
S1063,Alexis Scott,[CS54,CS51],[CS138],2026,CS minor
S1064,Kristen Morales,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2026,CS major
S1065,Melissa Parker,[CS54,CS51,CS62],[CS181AA,CS158],2026,Non-major
S1066,Franklin Baker,[CS140,CS51,CS62,CS105,CS54],[CS153,CS101],2026,CS minor
S1067,Jason Johnson,[CS101,CS54,CS51,CS62],[],2025,Non-major
S1068,Kimberly Wilson,[CS101,CS54,CS51,CS62],[CS122,CS181DV],2026,CS minor
S1069,Stacey Harris,[CS54,CS51,CS62,CS105],[],2026,CS minor
S1070,Barbara Mendoza,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV],2028,CS minor
S1071,Richard White,[CS140,CS51,CS62,CS105,CS54],[CS132],2027,CS major
S1072,Kaitlin Estrada,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS133],2027,Non-major
S1073,Daniel Le,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S1074,Paul Hahn,[],[CS122],2028,Non-major
S1075,Brenda Sims,[],[CS101],2026,CS major
S1076,Linda Gibbs,[CS62,CS54,CS51,CS140],[CS181AA,CS101],2027,CS major
S1077,Terry Herrera,[CS101,CS54,CS51,CS62],[],2026,Non-major
S1078,Emily Dunn,[CS140,CS51,CS62,CS101,CS54],[CS140,CS153],2025,CS major
S1079,Steven White,[],[],2026,Non-major
S1080,Christopher Pratt,[],[],2026,Non-major
S1081,Sandra Luna,[CS140,CS51,CS62,CS105,CS101,CS54],[CS101],2028,Non-major
S1082,Jack Reeves PhD,[CS140,CS51,CS62,CS105,CS54],[CS132,CS158],2026,CS major
S1083,Tonya Horn,[],[],2027,CS major
S1084,Mark Kim,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS158],2025,CS minor
S1085,Christopher Barr,[CS54,CS51],[CS140,CS101],2025,CS major
S1086,Timothy Anderson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2027,CS minor
S1087,Brian Lee,[],[CS105,CS132],2026,Non-major
S1088,Brendan Ryan,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S1089,Paul Bell,[],[CS158,CS133],2027,CS major
S1090,Kerri Werner,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S1091,Brittany Hodge,[CS140,CS51,CS62,CS105,CS54],[],2028,Non-major
S1092,Amber Bishop,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS133],2027,CS minor
S1093,Christopher Rice,[CS54,CS51,CS62,CS105],[],2027,CS major
S1094,John Anderson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2028,CS major
S1095,Angie Michael,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2025,Non-major
S1096,Norman Vaughn,[CS101,CS54,CS51,CS62],[CS153],2028,CS minor
S1097,Michelle Lee,[CS140,CS51,CS62,CS101,CS54],[CS153,CS132],2028,CS major
S1098,Angela Rodriguez,[CS54,CS51,CS62,CS105],[],2026,Non-major
S1099,Curtis Deleon,[CS51,CS62],[CS140],2027,CS minor
S1100,Ana Johnson,[CS51],[],2027,Non-major
S1101,Benjamin Johnson,[CS62,CS54,CS51,CS140],[CS122,CS105],2026,CS minor
S1102,Jeffrey Russo,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105,CS132],2028,CS major
S1103,Ryan Bailey,[CS140,CS51,CS62,CS101,CS54],[CS140],2025,CS minor
S1104,Rose Fisher,[CS140,CS51,CS62,CS101,CS54],[CS140],2026,CS minor
S1105,Alexander Mcguire,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S1106,Jessica Kelly,[CS62,CS54,CS51,CS140],[CS140,CS138],2026,CS major
S1107,Cody Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S1108,David Ramirez,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,CS minor
S1109,Kyle Cook,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S1110,Jesus Evans,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2025,Non-major
S1111,Holly Reid,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS181DV],2025,CS minor
S1112,James Turner,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S1113,Linda Phelps,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS122],2027,CS minor
S1114,David Kirby,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153],2027,Non-major
S1115,John Lynch,[CS54,CS51,CS62],[],2026,CS major
S1116,Mark Mccarthy,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2027,CS major
S1117,Angela Sullivan,[CS51,CS62,CS105,CS101,CS54],[CS181DV],2027,CS minor
S1118,Gina Russell,[CS140,CS51,CS62,CS105,CS54],[CS122,CS132],2026,CS minor
S1119,John Chambers,[CS101,CS54,CS51,CS62],[CS140,CS122],2028,Non-major
S1120,Joel Craig,[CS140,CS51,CS62,CS105,CS54],[CS132,CS133],2028,CS major
S1121,Matthew Baker,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS181DV],2025,CS major
S1122,Michelle Goodwin,[CS140,CS51,CS62,CS101,CS54],[CS153,CS122],2027,CS minor
S1123,Shawn York,[CS140,CS51,CS62,CS105,CS54],[CS140,CS181AA],2026,CS minor
S1124,Carl Martin,[],[CS140,CS122],2027,CS major
S1125,Rita Anderson,[],[CS138,CS133],2026,Non-major
S1126,Kristen Harris DVM,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS101],2027,CS major
S1127,Christopher Decker,[CS140,CS51,CS62,CS105,CS54],[CS138,CS133],2027,CS major
S1128,Stanley Gray,[CS140,CS51,CS62,CS101,CS54],[CS132,CS153],2026,Non-major
S1129,Jennifer Smith,[CS140,CS51,CS62,CS105,CS54],[],2027,CS major
S1130,Monique Johnston,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2026,CS minor
S1131,Brian Sexton,[],[CS132,CS181AA],2028,CS major
S1132,Thomas Rios,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS major
S1133,Tyler Ward,[CS140,CS51,CS62,CS101,CS54],[CS132],2026,Non-major
S1134,Dana Aguilar,[CS54,CS51,CS62,CS140],[],2027,CS major
S1135,Regina Bryant,[],[CS181AA],2025,CS major
S1136,Michael Weber II,[CS51,CS62,CS105,CS101,CS54],[CS132],2027,CS major
S1137,Abigail Martinez,[CS101,CS54,CS51,CS62],[CS133,CS132],2025,CS major
S1138,Mrs. Nicole Wilson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS101],2025,Non-major
S1139,Maureen Griffin,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140,CS181DV],2027,Non-major
S1140,Tyler Baldwin,[CS62,CS54,CS51,CS140],[CS181DV],2028,CS minor
S1141,Dr. Wesley Marshall,[CS54,CS51],[CS153],2026,Non-major
S1142,Jonathan Garcia,[CS140,CS51,CS62,CS105,CS54],[],2027,CS minor
S1143,Mikayla Smith,[],[CS153],2026,Non-major
S1144,Sheena Woods,[CS51,CS62,CS105,CS101,CS54],[CS122],2027,CS major
S1145,Andrew Murray,[],[],2026,CS minor
S1146,Morgan Sutton,[CS51,CS62],[CS122],2025,Non-major
S1147,Lauren Gomez,[CS54,CS51],[CS153],2026,CS major
S1148,Tammy James,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS105],2026,CS minor
S1149,Rebecca Hansen,[CS62,CS54,CS51,CS140],[CS140,CS181DV],2028,Non-major
S1150,Jeffrey Arellano,[CS62,CS54,CS51,CS140],[CS122,CS158],2025,Non-major
S1151,Deborah Wallace,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS140],2026,CS minor
S1152,Elizabeth Young,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS101],2026,CS major
S1153,Michelle Jacobs,[],[CS101,CS138],2026,CS major
S1154,Samuel Barr,[CS140,CS51,CS62,CS101,CS54],[CS105],2025,CS minor
S1155,Paula Clark,[CS51,CS62,CS105,CS101,CS54],[],2027,CS major
S1156,Linda Freeman,[CS140,CS51,CS62,CS105,CS101,CS54],[CS153,CS122],2027,CS minor
S1157,Lisa Chandler,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S1158,Lisa Foster,[CS62,CS54,CS51,CS140],[],2028,CS minor
S1159,Curtis Humphrey,[CS140,CS51,CS62,CS105,CS54],[CS181DV],2028,CS major
S1160,Shaun Smith,[CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S1161,Nicholas Fields,[],[CS132,CS101],2026,CS minor
S1162,Monique Miles,[CS51,CS62,CS105,CS101,CS54],[CS138],2025,Non-major
S1163,Natalie Taylor,[CS101,CS54,CS51,CS62],[CS132],2025,Non-major
S1164,Jason Jones,[CS140,CS51,CS62,CS105,CS54],[CS138],2028,Non-major
S1165,Kimberly Hooper,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2025,Non-major
S1166,Justin Mann,[CS51,CS62,CS105,CS101,CS54],[CS132,CS181AA],2026,CS major
S1167,Joseph Richardson,[CS140,CS51,CS62,CS101,CS54],[CS181DV],2026,Non-major
S1168,Aaron Brooks,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2028,Non-major
S1169,Stacey Thomas,[],[CS105],2027,CS minor
S1170,Megan Ibarra,[CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S1171,Jason Ochoa,[CS54,CS51,CS62,CS140],[CS133,CS153],2027,CS major
S1172,Dawn Wells,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S1173,David Monroe,[CS140,CS51,CS62,CS101,CS54],[],2027,Non-major
S1174,Dustin Johnson,[],[CS181AA,CS158],2026,CS major
S1175,Sandra Howell,[CS54,CS51,CS62,CS105],[],2026,CS minor
S1176,David Norman,[CS101,CS54,CS51,CS62],[CS181AA,CS132],2028,CS major
S1177,Kenneth Williams,[CS51,CS62,CS105,CS101,CS54],[],2027,Non-major
S1178,Heather Lowe,[CS54,CS51,CS62,CS105],[CS105,CS158],2027,CS minor
S1179,William Robertson,[CS54,CS51,CS62,CS105],[],2026,CS minor
S1180,Mrs. Sheila Torres,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S1181,Jeremy Werner,[CS140,CS51,CS62,CS105,CS54],[],2028,CS major
S1182,Emily Hernandez,[CS62,CS54,CS51,CS140],[],2027,Non-major
S1183,Andrea Arias,[CS101,CS54,CS51,CS62],[CS153],2028,CS minor
S1184,Laura Caldwell,[CS101,CS54,CS51,CS62],[CS132,CS138],2026,CS major
S1185,Helen Johnson,[CS101,CS54,CS51,CS62],[CS132],2027,CS minor
S1186,Samuel Orozco,[CS54,CS51,CS62,CS105],[CS132,CS181DV],2025,Non-major
S1187,Catherine Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122,CS105],2028,Non-major
S1188,Lisa Green,[CS51,CS62,CS105,CS101,CS54],[CS105],2028,Non-major
S1189,Andrea Wheeler,[CS54,CS51,CS62,CS105],[CS181DV],2027,CS major
S1190,Ann Barron,[CS51,CS62,CS105,CS101,CS54],[CS138,CS132],2028,Non-major
S1191,Amanda Johnson,[CS140,CS51,CS62,CS101,CS54],[CS101,CS153],2026,Non-major
S1192,Anna Weaver,[CS140,CS51,CS62,CS101,CS54],[CS181DV,CS105],2025,Non-major
S1193,David Sherman,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138],2026,Non-major
S1194,Michael Gilbert,[CS62,CS54,CS51,CS140],[CS132,CS153],2026,Non-major
S1195,Jordan Hartman,[CS140,CS51,CS62,CS105,CS54],[CS138],2027,Non-major
S1196,Elizabeth Sparks,[CS51],[],2026,Non-major
S1197,Crystal Wilson,[CS54,CS51,CS62,CS105],[],2026,CS major
S1198,Valerie Smith,[CS140,CS51,CS62,CS105,CS54],[CS105,CS133],2026,CS minor
S1199,Elizabeth Hahn,[],[],2026,CS minor
S1200,Terri Mcintyre,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140,CS181DV],2027,CS major
S1201,Darlene Marquez,[CS62,CS54,CS51,CS140],[],2026,CS minor
S1202,Robert Wright,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S1203,Austin Peck,[CS62,CS54,CS51,CS140],[CS122],2028,CS major
S1204,Megan Flowers,[],[CS181AA,CS132],2025,CS minor
S1205,Angela Herrera,[CS140,CS51,CS62,CS101,CS54],[],2028,CS minor
S1206,Annette Smith,[],[CS122],2027,Non-major
S1207,Aaron Braun,[CS51,CS62],[],2025,CS major
S1208,Dr. Ronald Blackwell,[CS140,CS51,CS62,CS105,CS54],[CS132,CS153],2027,CS minor
S1209,Philip Kelley,[CS54,CS51,CS62,CS105],[],2028,CS major
S1210,Phillip Walker,[],[],2028,CS minor
S1211,Timothy Weber,[CS54,CS51],[CS101,CS140],2028,Non-major
S1212,Sylvia Wiggins,[CS140,CS51,CS62,CS101,CS54],[],2025,CS major
S1213,John Frazier,[CS140,CS51,CS62,CS101,CS54],[],2028,Non-major
S1214,Rachel Walker,[CS51,CS62],[CS140,CS153],2026,CS minor
S1215,Jessica Warren,[],[CS133],2026,CS major
S1216,David Taylor,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158],2026,CS minor
S1217,Heidi Reid,[CS51],[],2027,CS minor
S1218,Brandon Silva,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S1219,Ryan Jones,[CS54,CS51,CS62,CS105],[CS138],2025,CS minor
S1220,Miss Carrie Leonard,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS138],2027,CS minor
S1221,Stephanie Gonzales,[CS54,CS51,CS62,CS105],[CS158],2026,CS minor
S1222,Derrick Wright,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS133],2028,CS major
S1223,Jennifer Rivera PhD,[CS51,CS62,CS105,CS101,CS54],[CS153],2028,CS minor
S1224,Pamela Rios,[CS54,CS51,CS62,CS105],[],2026,CS major
S1225,Beth Barrett,[CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S1226,John Quinn,[],[],2026,CS minor
S1227,Misty Ward,[CS140,CS51,CS62,CS105,CS101,CS54],[CS105],2028,CS major
S1228,Vanessa Crawford,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S1229,James Maxwell,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181AA],2027,CS major
S1230,Carrie Hopkins,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S1231,Robert Jones,[CS140,CS51,CS62,CS101,CS54],[CS101,CS181DV],2026,CS minor
S1232,Katrina Chambers,[CS140,CS51,CS62,CS105,CS101,CS54],[CS122],2025,CS major
S1233,Walter Riddle,[CS140,CS51,CS62,CS105,CS101,CS54],[CS181DV,CS133],2026,Non-major
S1234,Nicholas Marquez,[CS54,CS51,CS62,CS105],[],2026,CS major
S1235,David Davenport,[CS54,CS140,CS51,CS62],[CS101,CS105],2026,Non-major
S1236,Rachel Hall,[CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S1237,Danielle Scott,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133,CS158],2026,Non-major
S1238,Jeremy Green,[CS54,CS51,CS62,CS105],[],2027,Non-major
S1239,Samuel Roberts,[CS140,CS51,CS62,CS101,CS54],[],2025,CS minor
S1240,Cindy Johnson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
S1241,Jennifer Herrera,[CS140,CS51,CS62,CS101,CS54],[CS122,CS138],2028,Non-major
S1242,George Barker,[CS54,CS51,CS62],[CS101,CS153],2026,Non-major
S1243,Angel Spencer,[CS51,CS62],[CS133,CS122],2028,Non-major
S1244,Sara Garcia,[CS140,CS51,CS62,CS105,CS54],[],2027,CS minor
S1245,Ann King,[CS54,CS51],[CS153],2027,Non-major
S1246,Ann Payne,[CS101,CS54,CS51,CS62],[CS181AA,CS158],2025,CS major
S1247,Anna Weaver,[CS140,CS51,CS62,CS105,CS54],[],2025,Non-major
S1248,Mrs. Katrina Casey,[],[],2028,Non-major
S1249,Joseph Phillips,[CS140,CS51,CS62,CS105,CS101,CS54],[CS158,CS140],2028,Non-major
S1250,Shaun Roberts,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,CS major
S1251,Cheryl Ramos,[],[],2026,Non-major
S1252,Mark Holloway,[CS51],[CS101],2025,CS major
S1253,Terri Graham,[CS54,CS51],[CS138],2026,Non-major
S1254,Albert Hayes,[CS101,CS54,CS51,CS62],[CS101],2028,CS minor
S1255,Sarah Woodard,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S1256,John Miles,[CS51,CS62],[],2028,CS minor
S1257,Michael Wilson,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S1258,Joseph Morris,[CS140,CS51,CS62,CS105,CS101,CS54],[],2025,CS minor
S1259,Brenda Jennings,[CS54,CS51],[],2028,Non-major
S1260,Robert Johns,[CS140,CS51,CS62,CS101,CS54],[CS181AA],2027,CS major
S1261,Jennifer Davis,[CS51,CS62,CS105,CS101,CS54],[CS105,CS140],2028,CS minor
S1262,Allen Flores,[CS140,CS51,CS62,CS105,CS54],[CS133,CS105],2027,CS minor
S1263,Mary Preston,[CS51,CS62,CS105,CS101,CS54],[],2025,Non-major
S1264,Kiara Keller,[CS101,CS54,CS51,CS62],[CS138],2025,CS minor
S1265,Christopher Stewart,[],[CS122],2028,Non-major
S1266,Kenneth Bennett,[CS140,CS51,CS62,CS105,CS101,CS54],[CS138,CS122],2026,Non-major
S1267,Alex Stein,[],[CS133,CS181AA],2026,CS major
S1268,Karen Hoover,[CS140,CS51,CS62,CS105,CS101,CS54],[CS133],2025,CS major
S1269,Sheila Mason,[CS101,CS54,CS51,CS62],[CS153,CS122],2025,CS minor
S1270,Steven Woods,[CS140,CS51,CS62,CS101,CS54],[],2025,CS minor
S1271,Ashley Dixon,[CS140,CS51,CS62,CS105,CS54],[CS133],2025,CS minor
S1272,Edward Ortega,[CS54,CS51,CS62,CS105],[],2026,Non-major
S1273,Tonya Bryant,[CS140,CS51,CS62,CS105,CS101,CS54],[],2027,CS minor
S1274,Christine Sparks,[CS62,CS54,CS51,CS140],[CS133],2027,Non-major
S1275,Marcus Williams,[CS140,CS51,CS62,CS105,CS101,CS54],[],2026,Non-major
S1276,Dennis Brown,[CS54,CS51,CS62,CS105],[],2026,CS major
S1277,Christopher Castro,[CS62,CS54,CS51,CS140],[],2026,CS major
S1278,Lisa Sutton,[CS54,CS51],[],2027,CS major
S1279,Victoria Kelley,[CS51,CS62,CS105,CS101,CS54],[CS138,CS122],2027,CS minor
S1280,Donna Ruiz,[CS101,CS54,CS51,CS62],[],2026,CS major
S1281,Thomas Werner,[CS54,CS51,CS62,CS105],[],2025,Non-major
S1282,Natasha Bird,[CS62,CS54,CS51,CS140],[],2026,CS minor
S1283,Michael Tapia,[CS140,CS51,CS62,CS105,CS101,CS54],[CS140],2026,Non-major
S1284,Christopher Flores,[],[CS158],2027,CS minor
S1285,Cynthia Flowers,[CS140,CS51,CS62,CS105,CS54],[CS122,CS101],2025,Non-major
S1286,Leonard Carpenter,[CS140,CS51,CS62,CS105,CS101,CS54],[CS132,CS105],2026,CS minor
S1287,Nathan Bradley,[CS54,CS51,CS62,CS105],[CS140],2028,Non-major
S1288,Brian Williams,[CS140,CS51,CS62,CS105,CS101,CS54],[],2028,Non-major
